Time Norm Re(ACF(t)) Im(ACF(t) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
 
 
  0.00000000E+000  0.99983304E+000  0.99983304E+000  0.34089688E-016  0.99983304E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99977705E+000  0.55997382E-004  0.99983304E+000  0.99972105E+000
  0.25000000E-002  0.99983304E+000  0.98668365E+000 -0.16158912E+000  0.99982782E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99977070E+000  0.62344393E-004  0.99983304E+000  0.99970835E+000
  0.50000000E-002  0.99983304E+000  0.94758196E+000 -0.31892458E+000  0.99981222E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99975182E+000  0.81218980E-004  0.99983304E+000  0.99967060E+000
  0.75000000E-002  0.99983304E+000  0.88355811E+000 -0.46786493E+000  0.99978624E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99972042E+000  0.11262059E-003  0.99983304E+000  0.99960780E+000
  0.10000000E-001  0.99983304E+000  0.79629870E+000 -0.60449002E+000  0.99974987E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99967649E+000  0.15654856E-003  0.99983304E+000  0.99951995E+000
  0.12500000E-001  0.99983304E+000  0.68810237E+000 -0.72520439E+000  0.99970310E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99962004E+000  0.21300215E-003  0.99983304E+000  0.99940704E+000
  0.15000000E-001  0.99983304E+000  0.56181914E+000 -0.82683202E+000  0.99964590E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99955106E+000  0.28198045E-003  0.99983304E+000  0.99926908E+000
  0.17500000E-001  0.99983304E+000  0.42077516E+000 -0.90670004E+000  0.99957826E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99946956E+000  0.36348233E-003  0.99983304E+000  0.99910608E+000
  0.20000000E-001  0.99983304E+000  0.26868504E+000 -0.96270915E+000  0.99950015E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99937554E+000  0.45750642E-003  0.99983304E+000  0.99891803E+000
  0.22500000E-001  0.99983304E+000  0.10955384E+000 -0.99338886E+000  0.99941156E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99926899E+000  0.56405100E-003  0.99983304E+000  0.99870494E+000
  0.25000000E-001  0.99983304E+000 -0.52428600E-001 -0.99793618E+000  0.99931245E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99914993E+000  0.68311391E-003  0.99983304E+000  0.99846681E+000
  0.27500000E-001  0.99983304E+000 -0.21299810E+000 -0.97623668E+000  0.99920281E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99901835E+000  0.81469256E-003  0.99983304E+000  0.99820366E+000
